20Kb_5End 20Kb_3End Within Within+10Kb
0 0 NA 0
0 0 0 0
8779 10001 30000 30000
25242 0 60759 66000
0 0 NA 0
32409 16535 23592 33592
32350 16000 61920 77651
10001 24351 139650 144000
14651 0 25000 25000
30388 22214 39400 51613
0 0 26000 26000
25231 15513 83770 89000
0 34404 162404 172404
40001 0 96054 106054
0 0 0 0
0 0 NA 0
0 0 0 0
14495 14650 23000 23000
19436 23000 45547 52000
0 3299 0 0
15852 14924 NA 4924
27562 0 20439 28000
24136 0 93865 98000
29630 28138 282234 3e+05
15645 19702 110000 110000
0 26063 26938 33000
0 0 0 0
0 0 0 0
28820 24077 64105 77000
0 0 32000 32000
14000 14000 4242 14000
22212 32129 34661 46872
22016 21033 39953 43000
24166 21581 26255 32000
0 0 NA 0
23090 0 24911 28000
0 0 0 0
0 0 NA 0
0 0 0 0
0 14637 0 4637
16978 0 93000 93000
0 0 29000 29000
0 0 0 0
0 0 0 0
18000 18000 8984 18000
12000 27407 95594 103000
29728 25651 88623 104000
40001 25601 25019 40619
13108 20191 35810 39108
0 0 95000 95000
0 23506 52495 56000
0 0 0 0
0 519 14000 14000
21462 10048 149539 151000
0 0 0 0
23511 1922 52490 56000
10560 18000 36000 36000
0 22000 845168 855168
22000 0 15597 22000
20763 21450 NA 10763
11908 16597 0 6597
26245 26855 15902 29000
0 29000 342007 352007
0 14000 28000 28000
0 0 0 0
3673 4591 0 0
5586 19000 11877 19000
36174 0 30174 40174
0 26909 81092 88000
18551 13001 355000 355826
14185 0 33000 33000
23000 23000 3161 19023
27098 23000 55588 69000
0 0 0 0
29000 3899 17172 27172
28298 33382 98917 118917
29635 15344 9635 19635
0 0 20000 20000
26423 5618 27578 34000
11000 11000 10211 11000
7276 9072 0 0
18317 28001 45000 45000
19131 13784 41131 45784
17000 17000 6718 17000
0 0 0 0
30599 0 32402 42402
0 0 0 0
18000 15051 7236 17236
0 0 0 0
0 16000 14513 16000
4024 40001 29618 39618
40001 19000 78270 88270
13210 31220 44781 54781
0 0 0 0
0 22759 46242 49000
13864 0 61000 61000
0 0 0 0
27853 22491 21658 32000
0 0 55000 55000
0 0 0 0
22144 22370 20488 25000
17000 0 78273 83000
0 5055 22000 22000
25405 34888 17709 33113
27412 13781 7412 17412
0 25915 43915 53915
40001 0 112849 122849
22905 18808 135096 138000
9675 13201 NA 0
3370 11186 0 1186
17000 17000 4268 16606
0 18000 64852 68000
312 40001 94401 104401
0 0 149000 149000
20812 0 51189 52000
0 0 NA 0
0 0 0 0
9911 3718 119000 119000
19000 19000 10229 19000
10289 0 14000 14000
0 0 30000 30000
961 23203 48798 52000
22000 20261 53626 60000
0 0 0 0
0 19123 38000 38000
0 0 0 0
20000 17773 15757 20000
4286 16000 30675 39000
10881 10507 17000 17881
12876 12832 0 2876
12969 20405 34596 35000
13706 13478 42000 42000
20169 27413 35420 43000
6117 18000 66444 67000
0 0 0 0
26793 26464 50745 64000
0 9267 60000 60000
0 21668 106333 108000
17425 0 18000 18000
0 25816 143185 149000
0 0 79000 79000
21000 18178 9000 19000
24000 24000 3639 22443
0 0 0 0
39797 25000 85771 103204
13804 14435 72000 72000
0 0 0 0
0 0 234000 234000
22519 11758 142482 145000
22000 8574 16725 22000
0 0 NA 0
1553 894 NA 0
14000 26596 48867 59000
19338 31000 36294 46294
0 0 0 0
28675 0 33326 42000
23750 26000 13708 26000
24001 19966 27000 27857
24000 6450 12911 22911
0 0 0 0
0 0 0 0
0 0 0 0
0 16500 28000 28000
27845 22001 54686 64000
21832 13000 12793 13000
0 0 NA 0
23070 0 29931 33000
15033 7551 16000 16000
